name_raw,brand,price,slug,image_url,category,name_clean,image_score,selected,old_category,confidence,reasons
Riho Rethink Cubic halfvrijstaand bad met panelen - 170x75cm - acryl - rechts in hoek - glans wit,Riho,1669.0,,https://static.rorix.nl/image/product/overig/400x400/fe2364a2d06e2f49315f67219016c929.jpg/riho-rethink-cubic-halfvrijstaand-bad-met-panelen-170x75cm-acryl-rechts-in-hoek-glans-wit-sw547819.jpg,Bathtub,Riho Rethink Cubic halfvrijstaand bad met panelen – wit,9,False,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Rethink Cubic halfvrijstaand bad met panelen - 170x75cm - acryl - links in hoek - glans wit,Riho,1669.0,,https://static.rorix.nl/image/product/overig/400x400/fe2364a2d06e2f49315f67219016c929.jpg/riho-rethink-cubic-halfvrijstaand-bad-met-panelen-170x75cm-acryl-links-in-hoek-glans-wit-sw547810.jpg,Bathtub,Riho Rethink Cubic halfvrijstaand bad met panelen – wit,9,False,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Rethink Cubic halfvrijstaand bad met panelen - 180x80cm - acryl - links in hoek - glans wit,Riho,1712.0,,https://static.rorix.nl/image/product/overig/400x400/fe2364a2d06e2f49315f67219016c929.jpg/riho-rethink-cubic-halfvrijstaand-bad-met-panelen-180x80cm-acryl-links-in-hoek-glans-wit-sw547830.jpg,Bathtub,Riho Rethink Cubic halfvrijstaand bad met panelen – wit,9,False,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Rethink Cubic halfvrijstaand bad met panelen - 180x80cm - acryl - rechts in hoek - glans wit,Riho,1712.0,,https://static.rorix.nl/image/product/overig/400x400/fe2364a2d06e2f49315f67219016c929.jpg/riho-rethink-cubic-halfvrijstaand-bad-met-panelen-180x80cm-acryl-rechts-in-hoek-glans-wit-sw547806.jpg,Bathtub,Riho Rethink Cubic halfvrijstaand bad met panelen – wit,9,False,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Rethink Cubic halfvrijstaand bad met panelen - 180x90cm - acryl - rechts in hoek - glans wit,Riho,1755.0,,https://static.rorix.nl/image/product/overig/400x400/fe2364a2d06e2f49315f67219016c929.jpg/riho-rethink-cubic-halfvrijstaand-bad-met-panelen-180x90cm-acryl-rechts-in-hoek-glans-wit-sw547815.jpg,Bathtub,Riho Rethink Cubic halfvrijstaand bad met panelen – wit,9,False,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Rethink Cubic halfvrijstaand bad met panelen - 180x90cm - acryl - links in hoek - glans wit,Riho,1755.0,,https://static.rorix.nl/image/product/overig/400x400/fe2364a2d06e2f49315f67219016c929.jpg/riho-rethink-cubic-halfvrijstaand-bad-met-panelen-180x90cm-acryl-links-in-hoek-glans-wit-sw547813.jpg,Bathtub,Riho Rethink Cubic halfvrijstaand bad met panelen – wit,9,False,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Rethink Cubic halfvrijstaand bad met panelen - 190x80cm - acryl - links in hoek - glans wit,Riho,1837.0,,https://static.rorix.nl/image/product/overig/400x400/fe2364a2d06e2f49315f67219016c929.jpg/riho-rethink-cubic-halfvrijstaand-bad-met-panelen-190x80cm-acryl-links-in-hoek-glans-wit-sw547847.jpg,Bathtub,Riho Rethink Cubic halfvrijstaand bad met panelen – wit,9,False,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Rethink Cubic halfvrijstaand bad met panelen - 190x80cm - acryl - rechts in hoek - glans wit,Riho,1837.0,,https://static.rorix.nl/image/product/overig/400x400/fe2364a2d06e2f49315f67219016c929.jpg/riho-rethink-cubic-halfvrijstaand-bad-met-panelen-190x80cm-acryl-rechts-in-hoek-glans-wit-sw547832.jpg,Bathtub,Riho Rethink Cubic halfvrijstaand bad met panelen – wit,9,False,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Rethink Cubic halfvrijstaand bad met panelen - 190x90cm - acryl - links in hoek - glans wit,Riho,1877.0,,https://static.rorix.nl/image/product/overig/400x400/fe2364a2d06e2f49315f67219016c929.jpg/riho-rethink-cubic-halfvrijstaand-bad-met-panelen-190x90cm-acryl-links-in-hoek-glans-wit-sw547858.jpg,Bathtub,Riho Rethink Cubic halfvrijstaand bad met panelen – wit,9,False,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
Riho Rethink Cubic halfvrijstaand bad met panelen - 190x90cm - acryl - rechts in hoek - glans wit,Riho,1877.0,,https://static.rorix.nl/image/product/overig/400x400/fe2364a2d06e2f49315f67219016c929.jpg/riho-rethink-cubic-halfvrijstaand-bad-met-panelen-190x90cm-acryl-rechts-in-hoek-glans-wit-sw547818.jpg,Bathtub,Riho Rethink Cubic halfvrijstaand bad met panelen – wit,9,False,Bathtub,68.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
